id,abbreviation,language,title
12,ASV,en,"American Standard Version"
1588,AMP,en,"Amplified Bible"
3034,BSB,en,"Berean Standard Bible"
42,CPDV,en,"Catholic Public Domain Version"
2079,EASY,en,"EasyEnglish Bible 2024"
1932,FBV,en,"Free Bible Version"
2163,GNV,en,"Geneva Bible"
2660,LSV,en,"Literal Standard Version"
2692,NASB2020,en,"New American Standard Bible - NASB"
100,NASB1995,en,"New American Standard Bible - NASB 1995"
110,NIrV,en,"New International Reader’s Version"
111,NIV,en,"New International Version"
113,NIVUK,en,"New International Version (Anglicised)"
2530,PEV,en,"Plain English Version"
130,TOJB2011,en,"The Orthodox Jewish Bible"
1849,TPT,en,"The Passion Translation (In Review)"
3427,TCENT,en,"The Text-Critical English New Testament"
206,WEBUS,en,"World English Bible, American English Edition, without Strong's Numbers"
1209,WMB,en,"World Messianic Bible"
1207,WMBBE,en,"World Messianic Bible British Edition"
2307,NLD1939,nl,"De Heilige Schrift, Petrus Canisiusvertaling, 1939"
4209,gbvnt,nl,"Gods Boek - het Nieuwe Testament"
75,HTB,nl,"Het Boek"
